"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"1","Aberavon",50838,30958,16073,4411,5034,0,489,0,2010,0.5996545077
"2","Aberavon",49821,31523,15416,3742,1397,711,4971,0,2015,0.5996545077
"3","Aberconwy",44593,29966,7336,10734,5786,0,632,0,2010,0.5338379841
"4","Aberconwy",45525,30148,8514,12513,1391,727,3467,0,2015,0.5338379841
"5","Aberdeen North",64808,37701,16746,4666,7001,0,0,8385,2010,0.4309975547
"6","Aberdeen North",67745,43936,0,5304,2050,0,0,24793,2015,0.4309975547
"7","Aberdeen South",68056,48551,12991,11087,2252,964,897,20221,2015,0.3232565417
"8","Aberdeen South",64031,43034,15722,8914,12216,413,0,5102,2010,0.3232565417
"9","Aberdeenshire West & Kincardine",66110,45195,6159,13678,17362,0,397,7086,2010,NA
"10","Aberdeenshire West & Kincardine",73445,55196,2487,15916,11812,885,1006,22949,2015,NA
"11","Airdrie & Shotts",62364,35849,20849,3133,2898,0,0,8441,2010,NA
"12","Airdrie & Shotts",66792,44286,15108,3389,678,0,1088,23887,2015,NA
"13","Aldershot",71465,45384,5489,21203,15617,0,2041,0,2010,0.5789776574
"14","Aldershot",72430,46191,8468,23369,4076,2025,8253,0,2015,0.5789776574
"15","Aldridge-Brownhills",58909,38634,7647,22913,6833,847,0,0,2010,0.6779634958
"16","Aldridge-Brownhills",60215,39497,8835,20558,1330,826,7751,0,2015,0.6779634958
"17","Altrincham & Sale West",72208,49393,11073,24176,12581,0,1563,0,2010,NA
"18","Altrincham & Sale West",71511,50517,13481,26771,4235,1983,4047,0,2015,NA
"19","Alyn & Deeside",60931,39923,15804,12885,7308,0,1009,0,2010,NA
"20","Alyn & Deeside",62016,41314,16540,13197,1733,976,7260,0,2015,NA
"21","Amber Valley",69510,45717,15901,20106,1360,1087,7263,0,2015,0.6533921445
"22","Amber Valley",70171,45958,17210,17746,6636,0,906,0,2010,0.6533921445
"23","Angus",62860,37960,6535,11738,4090,0,577,15020,2010,0.4813276871
"24","Angus",65792,44485,3919,12900,1216,965,1355,24130,2015,0.4813276871
"25","Antrim East",60204,30502,0,0,0,0,0,0,2010,NA
"26","Antrim East",62811,33497,0,549,0,0,3660,0,2015,NA
"27","Antrim North",73338,42397,0,0,0,0,0,0,2010,NA
"28","Antrim North",75876,41907,0,368,0,0,1341,0,2015,NA
"29","Antrim South",63054,34009,0,0,0,0,0,0,2010,NA
"30","Antrim South",67425,36523,0,415,0,0,0,0,2015,NA
"31","Arfon",41198,26078,7928,4416,3666,0,685,0,2010,0.3490749007
"32","Arfon",40492,26837,8122,3521,718,0,2277,0,2015,0.3490749007
"33","Argyll & Bute",67165,45207,10274,10861,14292,789,0,8563,2010,NA
"34","Argyll & Bute",68875,51883,5394,7733,14486,0,1311,22959,2015,NA
"35","Arundel & South Downs",76835,55982,4835,32333,15642,0,3172,0,2010,NA
"36","Arundel & South Downs",77242,56477,6324,34331,4062,3606,8154,0,2015,NA
"37","Ashfield",77379,48196,16239,10698,16047,0,933,0,2010,0.7057585002
"38","Ashfield",77091,47409,19448,10628,7030,0,10150,0,2015,0.7057585002
"39","Ashford",85177,57372,10580,30094,3433,2467,10798,0,2015,0.596788819
"40","Ashford",81271,55185,9204,29878,12581,1014,2508,0,2010,0.596788819
"41","Ashton Under Lyne",67714,38432,18604,9510,5703,0,1686,0,2010,NA
"42","Ashton Under Lyne",68343,38918,19366,8610,943,1531,8468,0,2015,NA
"43","Aylesbury",77844,53162,6695,27736,15118,0,3613,0,2010,0.5210161337
"44","Aylesbury",80315,55419,8391,28083,5885,2135,10925,0,2015,0.5210161337
"45","Ayr, Carrick & Cumnock",73320,45893,21632,11721,4264,0,0,8276,2010,NA
"46","Ayr, Carrick & Cumnock",72995,52209,14227,10355,855,0,1280,25492,2015,NA
"47","Ayrshire Central",68352,43915,20950,8943,5236,0,0,8364,2010,NA
"48","Ayrshire Central",70021,50774,13410,8803,917,645,0,26999,2015,NA
"49","Ayrshire North & Arran",74223,46116,21860,7212,4630,0,0,11965,2010,NA
"50","Ayrshire North & Arran",75791,53869,15068,7968,896,0,1296,28641,2015,NA
"51","Banbury",86420,58008,12354,30749,3440,2686,8050,0,2015,0.5053589533
"52","Banbury",84379,56241,10773,29703,11476,959,2806,0,2010,0.5053589533
"53","Banff & Buchan",64300,38466,5382,11841,4365,0,0,15868,2010,NA
"54","Banff & Buchan",68609,45629,2647,13148,2347,0,0,27487,2015,NA
"55","Barking",73977,43041,24826,7019,562,897,9554,0,2015,0.6033002338
"56","Barking",73868,45343,24628,8073,3719,317,1300,0,2010,0.6033002338
"57","Barnsley Central",64534,36560,20376,5485,770,938,7941,0,2015,0.6837815879
"58","Barnsley Central",65543,37001,17487,6388,6394,0,1727,0,2010,0.6837815879
"59","Barnsley East",68435,38386,18059,6329,6969,0,1731,0,2010,0.7077794137
"60","Barnsley East",69135,38517,21079,5622,1217,0,9045,0,2015,0.7077794137
"61","Barrow & Furness",68943,44124,21226,16018,4424,530,841,0,2010,NA
"62","Barrow & Furness",68338,43275,0,17525,1169,1061,5070,0,2015,NA
"63","Basildon & Billericay",65515,41569,9584,21922,6538,0,1591,0,2010,NA
"64","Basildon & Billericay",66347,43028,10186,22668,1636,0,8538,0,2015,NA
"65","Basildon South & Thurrock East",71874,44735,13852,19624,5977,0,2639,0,2010,NA
"66","Basildon South & Thurrock East",71155,45593,11493,19788,1356,0,12097,0,2015,NA
"67","Basingstoke",75473,50654,10327,25590,12414,0,2076,0,2010,0.5364191295
"68","Basingstoke",79665,53076,14706,25769,3919,0,8290,0,2015,0.5364191295
"69","Bassetlaw",76796,49289,23965,15122,1331,1006,7865,0,2015,0.6832485971
"70","Bassetlaw",76513,49577,25018,16803,5570,0,1779,0,2010,0.6832485971
"71","Bath",63084,47167,6216,17833,14000,5634,2922,0,2015,0.3169279409
"72","Bath",66686,47086,3251,14768,26651,1120,890,0,2010,0.3169279409
"73","Batley & Spen",76738,51109,21565,17159,8095,605,0,0,2010,NA
"74","Batley & Spen",78373,50479,21826,15769,2396,1232,9080,0,2015,NA
"75","Battersea",76111,51031,18792,26730,2241,1682,1586,0,2015,0.2303755679
"76","Battersea",74311,48792,17126,23103,7176,559,505,0,2010,0.2303755679
"77","Beaconsfield",74726,53163,6074,33621,3927,2231,7310,0,2015,0.4929742327
"78","Beaconsfield",74982,52490,6135,32053,10271,768,2597,0,2010,0.4929742327
"79","Beckenham",66219,47686,6893,27597,9813,608,1551,0,2010,0.4838170491
"80","Beckenham",67439,48803,9484,27955,3378,1878,6108,0,2015,0.4838170491
"81","Bedford",69311,46086,18528,19625,1958,1412,4434,0,2015,0.5194916653
"82","Bedford",68530,45102,16193,17546,8957,393,1136,0,2010,0.5194916653
"83","Bedfordshire Mid",76310,54897,8108,28815,13663,773,2826,0,2010,NA
"84","Bedfordshire Mid",78501,58060,9217,32544,4193,2462,8966,0,2015,NA
"85","Bedfordshire North East",78060,55552,8957,30989,12047,0,2294,0,2010,NA
"86","Bedfordshire North East",83551,58672,9247,34891,3418,2537,8579,0,2015,NA
"87","Bedfordshire South West",76559,50774,9948,26815,10166,0,2142,0,2010,NA
"88","Bedfordshire South West",79285,51304,10399,28212,2646,2106,7941,0,2015,NA
"89","Belfast East",59007,34488,0,0,0,0,0,0,2010,NA
"90","Belfast East",63157,39682,0,1121,0,1058,0,0,2015,NA
"91","Belfast North",65504,36993,0,0,0,0,0,0,2010,NA
"92","Belfast North",68553,40593,0,0,0,0,0,0,2015,NA
"93","Belfast South",59524,34186,0,0,0,1036,0,0,2010,NA
"94","Belfast South",64927,38957,0,582,0,2238,1900,0,2015,NA
"95","Belfast West",59522,32133,0,0,0,0,0,0,2010,NA
"96","Belfast West",62697,35329,0,34,0,0,765,0,2015,NA
"97","Bermondsey & Old Southwark",77628,44651,13060,7638,21590,718,0,0,2010,NA
"98","Bermondsey & Old Southwark",83298,51424,22146,6051,17657,2023,3254,0,2015,NA
"99","Berwick-upon-Tweed",56578,38439,5061,14116,16806,0,1243,0,2010,0.5555173308
"100","Berwickshire, Roxburgh & Selkirk",73826,49014,5003,16555,22230,0,595,4497,2010,NA
"101","Berwickshire, Roxburgh & Selkirk",74214,55038,2700,19817,10294,631,1316,20145,2015,NA
"102","Bethnal Green & Bow",81243,50728,21784,7071,10210,856,0,0,2010,NA
"103","Bethnal Green & Bow",82727,52924,32387,8070,2395,4906,3219,0,2015,NA
"104","Beverley & Holderness",79318,53199,11224,25063,12076,686,1845,0,2010,NA
"105","Beverley & Holderness",80805,52677,13160,25363,2900,1802,8794,0,2015,NA
"106","Bexhill & Battle",81032,54587,6524,28147,15267,0,0,0,2010,NA
"107","Bexhill & Battle",78796,55218,7797,30245,4199,2807,10170,0,2015,NA
"108","Bexleyheath & Crayford",65015,43182,11450,21794,5502,371,1557,0,2010,NA
"109","Bexleyheath & Crayford",64828,43685,11451,20643,1308,950,9182,0,2015,NA
"110","Birkenhead",62773,35323,22082,6687,6554,0,0,0,2010,0.517076065
"111","Birkenhead",62410,39144,26468,5816,1396,1626,3838,0,2015,0.517076065
"112","Birmingham Edgbaston",68573,41571,16894,15620,6387,469,732,0,2010,NA
"113","Birmingham Edgbaston",65591,41293,18518,15812,1184,1371,4154,0,2015,NA
"114","Birmingham Erdington",66405,35546,14869,11592,5742,0,842,0,2010,NA
"115","Birmingham Erdington",65128,34684,15824,10695,965,948,6040,0,2015,NA
"116","Birmingham Hall Green",76580,48727,16039,7320,11988,0,950,0,2010,NA
"117","Birmingham Hall Green",76330,47046,28147,8329,5459,2200,2131,0,2015,NA
"118","Birmingham Hodge Hill",75040,42472,22077,4936,11775,0,714,0,2010,NA
"119","Birmingham Hodge Hill",75302,41039,28069,4707,2624,835,4651,0,2015,NA
"120","Birmingham Ladywood",73646,35833,19950,4277,9845,859,902,0,2010,NA
"121","Birmingham Ladywood",68128,35916,26444,4576,1374,1501,1805,0,2015,NA
"122","Birmingham Northfield",71338,41814,16841,14059,6550,406,1363,0,2010,NA
"123","Birmingham Northfield",71428,42461,17673,15164,1349,1169,7106,0,2015,NA
"124","Birmingham Perry Barr",71304,42045,21142,8960,9234,0,1675,0,2010,NA
"125","Birmingham Perry Barr",69943,41260,23697,8869,2001,1330,5032,0,2015,NA
"126","Birmingham Selly Oak",74805,46563,17950,14468,10371,664,1131,0,2010,NA
"127","Birmingham Selly Oak",75092,45294,21584,13137,2517,2301,5755,0,2015,NA
"128","Birmingham Yardley",72321,40850,13160,7836,16162,0,1190,0,2010,NA
"129","Birmingham Yardley",72146,41151,17129,5760,10534,698,6637,0,2015,NA
"130","Bishop Auckland",68368,41136,16023,10805,9189,0,1119,0,2010,0.6062241442
"131","Bishop Auckland",66070,39389,16307,12799,1723,1545,7015,0,2015,0.6062241442
"132","Blackburn",72331,45499,21751,11895,6918,0,942,0,2010,0.5372925725
"133","Blackburn",73260,43999,24762,12002,955,0,6280,0,2015,0.5372925725
"134","Blackley & Broughton",69489,34204,18563,6260,4861,0,894,0,2010,NA
"135","Blackley & Broughton",71913,37112,22982,5581,874,1567,6108,0,2015,NA
"136","Blackpool North & Cleveleys",66017,40591,14814,16964,5400,0,1659,0,2010,NA
"137","Blackpool North & Cleveleys",62468,39393,14168,17508,948,889,5823,0,2015,NA
"138","Blackpool South",57411,32436,13548,10963,743,841,5613,0,2015,0.6780391362
"139","Blackpool South",63027,35192,14449,12597,5082,0,1352,0,2010,0.6780391362
"140","Blaenau Gwent",51335,31683,18380,3419,620,738,5677,0,2015,0.6202804437
"141","Blaenau Gwent",52442,32395,16974,2265,3285,0,488,0,2010,0.6202804437
"142","Blaydon",67901,44936,22090,7838,5497,1648,7863,0,2015,0.5631875632
"143","Blaydon",67808,44913,22297,7159,13180,0,0,0,2010,0.5631875632
"144","Blyth Valley",62900,38566,17156,6412,10488,0,1665,0,2010,0.5988035794
"145","Blyth Valley",61247,38461,17813,8346,2265,1453,8584,0,2015,0.5988035794
"146","Bognor Regis & Littlehampton",70816,46852,6580,24087,11024,0,3036,0,2010,NA
"147","Bognor Regis & Littlehampton",72995,47116,6508,24185,4240,1942,10241,0,2015,NA
"148","Bolsover",72766,43988,21994,10812,6821,0,1721,0,2010,0.7027221264
"149","Bolsover",71979,43998,22542,10764,1464,0,9228,0,2015,0.7027221264
"150","Bolton North East",67895,43161,18541,14164,1236,1103,8117,0,2015,0.5776723522
"151","Bolton North East",66846,43277,19870,15786,5624,0,1815,0,2010,0.5776723522
"152","Bolton South East",69687,40743,20555,8289,1072,1200,9627,0,2015,0.6342168192
"153","Bolton South East",69499,39604,18782,10148,6289,614,1564,0,2010,0.6342168192
"154","Bolton West",71284,47576,18327,18235,8177,545,1901,0,2010,0.5553871533
"155","Bolton West",72719,48592,18943,19744,1947,0,7428,0,2015,0.5553871533
"156","Bootle",70145,45152,33619,3639,978,1501,4915,0,2015,0.5487643903
"157","Bootle",71422,41277,27426,3678,6245,0,2514,0,2010,0.5487643903
"158","Boston & Skegness",67186,43125,8899,21325,6371,0,4081,0,2010,NA
"159","Boston & Skegness",67064,43339,7142,18981,1015,800,14645,0,2015,NA
"160","Bosworth",79738,53582,9354,22939,11951,0,9338,0,2015,0.6079730392
"161","Bosworth",77296,54274,8674,23132,18100,0,1098,0,2010,0.6079730392
"162","Bournemouth East",71125,44024,5836,21320,13592,0,3027,0,2010,0.5350713031
"163","Bournemouth East",72275,44827,7448,22060,3752,3263,7401,0,2015,0.5350713031
"164","Bournemouth West",71753,41659,6171,18808,13225,0,2999,0,2010,0.5789926072
"165","Bournemouth West",72082,41773,7386,20155,3281,3107,7745,0,2015,0.5789926072
"166","Bracknell",76888,52136,8755,27327,11623,821,2297,0,2010,0.5325104196
"167","Bracknell",81271,53086,8956,29606,3983,2202,8339,0,2015,0.5325104196
"168","Bradford East",65116,40457,13272,10860,13637,0,0,0,2010,0.5515782934
"169","Bradford East",66121,41406,19312,4682,12228,871,4103,0,2015,0.5515782934
"170","Bradford South",63580,37995,15682,11060,6948,0,1339,0,2010,0.6356121775
"171","Bradford South",63674,37600,16328,9878,1094,1243,9057,0,2015,0.6356121775
"172","Bradford West",62519,40576,18401,12638,4732,940,812,0,2010,0.4674085444
"173","Bradford West",63372,40290,19977,6160,1173,1085,3140,0,2015,0.4674085444
"174","Braintree",73557,50283,9296,27071,2488,1564,9461,0,2015,0.614274471
"175","Braintree",71163,49203,9780,25901,9247,718,2477,0,2010,0.614274471
"176","Brecon & Radnorshire",54441,40074,5904,16453,11351,1261,3338,0,2015,NA
"177","Brecon & Radnorshire",53589,38845,4096,14182,17929,341,876,0,2010,NA
"178","Brent Central",74046,45323,18681,5067,20026,668,0,0,2010,0.4292455493
"179","Brent Central",77038,47032,29216,9567,3937,1912,1850,0,2015,0.4292455493
"180","Brent North",83896,52298,24514,16486,8879,725,380,0,2010,0.4309235831
"181","Brent North",82196,52235,28351,17517,2607,1539,2024,0,2015,0.4309235831
"182","Brentford & Isleworth",83546,53765,18064,20022,12718,787,863,0,2010,NA
"183","Brentford & Isleworth",84602,57355,25096,24631,2305,2120,3203,0,2015,NA
"184","Brentwood & Ongar",69309,50592,4992,28793,11872,584,2037,0,2010,NA
"185","Brentwood & Ongar",71918,51897,6492,30534,4577,1397,8724,0,2015,NA
"186","Bridgend",59998,39453,14624,12697,1648,736,5911,0,2015,0.496508306
"187","Bridgend",58700,38347,13931,11668,8658,0,801,0,2010,0.496508306
"188","Bridgwater & Somerset West",82180,54493,9332,24675,15426,859,2604,0,2010,NA
"189","Bridgwater & Somerset West",80491,54447,9589,25020,6765,2636,10437,0,2015,NA
"190","Brigg & Goole",67345,43874,14533,19680,6414,0,1749,0,2010,NA
"191","Brigg & Goole",68488,43270,11770,22946,764,915,6694,0,2015,NA
"192","Brighton Kemptown",67858,45306,17738,18428,1365,3187,4446,0,2015,NA
"193","Brighton Kemptown",66015,42705,14889,16217,7691,2330,1384,0,2010,NA
"194","Brighton Pavilion",74009,51834,14986,12275,7159,16238,948,0,2010,NA
"195","Brighton Pavilion",76557,54676,14904,12448,1525,22871,2724,0,2015,NA
"196","Bristol East",69448,45017,16471,12749,10993,803,1510,0,2010,0.4679527183
"197","Bristol East",71193,46213,18148,14168,2689,3827,7152,0,2015,0.4679527183
"198","Bristol North West",74743,51805,17823,22767,3214,2952,4889,0,2015,0.3885281199
"199","Bristol North West",73469,50336,13059,19115,15841,511,1175,0,2010,0.3885281199
"200","Bristol South",81496,50842,19505,12377,4416,5861,8381,0,2015,0.4795283789
"201","Bristol South",78579,48377,18600,11086,13866,1216,1264,0,2010,0.4795283789
"202","Bristol West",82728,55347,15227,10169,26593,2090,655,0,2010,0.2071150843
"203","Bristol West",91236,64218,22900,9752,12103,17227,1940,0,2015,0.2071150843
"204","Broadland",72445,52676,7287,24338,17046,752,2382,0,2010,0.5406077153
"205","Broadland",73552,53089,9970,26808,5178,2252,8881,0,2015,0.5406077153
"206","Bromley & Chislehurst",65477,44066,9779,23343,2836,1823,6285,0,2015,NA
"207","Bromley & Chislehurst",65427,44037,7295,23569,9669,607,1451,0,2010,NA
"208","Bromsgrove",73036,51630,11250,22558,10124,0,2950,0,2010,0.5536512794
"209","Bromsgrove",73337,52245,11604,28133,2616,1729,8163,0,2015,0.5536512794
"210","Broxbourne",71391,45658,8040,26844,6107,0,1890,0,2010,0.6581793055
"211","Broxbourne",72944,46024,8470,25797,1467,1216,9074,0,2015,0.6581793055
"212","Broxtowe",71764,53440,19876,24163,2120,1544,5674,0,2015,0.5241484493
"213","Broxtowe",72042,52727,20196,20585,8907,423,1194,0,2010,0.5241484493
"214","Buckingham",74989,48335,0,0,0,0,8401,0,2010,0.486547127
"215","Buckingham",77425,53692,0,0,0,7400,11675,0,2015,0.486547127
"216","Burnley",64477,39746,14951,5374,11707,850,6864,0,2015,0.6661279897
"217","Burnley",66615,41845,13114,6950,14932,0,929,0,2010,0.6661279897
"218","Burton",75248,48974,13484,24376,1232,1224,8658,0,2015,0.6462413639
"219","Burton",74874,49823,15884,22188,7891,0,1451,0,2010,0.6462413639
"220","Bury North",66759,44961,15827,18070,7645,0,1282,0,2010,0.536593443
"221","Bury North",67580,45230,18592,18970,932,1141,5595,0,2015,0.536593443
"222","Bury South",73544,48267,19508,16216,8796,493,1017,0,2010,0.5452602877
"223","Bury South",73883,47215,21272,16350,1690,1434,6299,0,2015,0.5452602877
"224","Bury St Edmunds",85982,59341,10514,31815,3581,4692,8739,0,2015,0.5373851606
"225","Bury St Edmunds",84716,58718,9776,27899,15519,2521,3003,0,2010,0.5373851606
"226","Caerphilly",63603,40283,17864,6683,935,937,7791,0,2015,0.5515760503
"227","Caerphilly",62122,38692,17377,6622,5688,0,910,0,2010,0.5515760503
"228","Caithness, Sutherland & Easter Ross",47263,28768,7081,3744,11907,0,0,5516,2010,NA
"229","Caithness, Sutherland & Easter Ross",47558,34186,3061,2326,11987,0,981,15831,2015,NA
"230","Calder Valley",76903,51780,13966,20397,13037,858,1173,0,2010,0.5316421306
"231","Calder Valley",77754,53541,18927,23354,2666,2090,5950,0,2015,0.5316421306
"232","Camberwell & Peckham",82746,51561,32614,6790,2580,5187,2413,0,2015,NA
"233","Camberwell & Peckham",78627,46659,27619,6080,10432,1361,0,0,2010,NA
"234","Camborne & Redruth",63975,42493,6945,15969,15903,581,2152,0,2010,NA
"235","Camborne & Redruth",66944,45868,11448,18452,5687,2608,6776,0,2015,NA
"236","Cambridge",74699,50130,12174,12829,19621,3804,1195,0,2010,0.262252731
"237","Cambridge",83384,51774,18646,8117,18047,4109,2668,0,2015,0.262252731
"238","Cambridgeshire North East",73224,52064,9274,26862,10437,0,2791,0,2010,NA
"239","Cambridgeshire North East",82990,51780,7476,28524,2314,1816,11650,0,2015,NA
"240","Cambridgeshire North West",88851,58283,9877,29425,12748,0,4826,0,2010,NA
"241","Cambridgeshire North West",90318,61100,10927,32070,3479,2159,12275,0,2015,NA
"242","Cambridgeshire South",78995,59056,6024,27995,20157,1039,1873,0,2010,NA
"243","Cambridgeshire South",84132,61540,10860,31454,9368,3848,6010,0,2015,NA
"244","Cambridgeshire South East",83068,57602,4380,27629,21683,766,2138,0,2010,NA
"245","Cambridgeshire South East",84570,59506,9013,28845,12008,3047,6593,0,2015,NA
"246","Cannock Chase",74508,45559,15076,18271,7732,0,1580,0,2010,0.6886035313
"247","Cannock Chase",74532,47099,15888,20811,1270,906,8224,0,2015,0.6886035313
"248","Canterbury",81341,53465,13120,22918,6227,3746,7289,0,2015,0.4534039729
"249","Canterbury",74121,49209,7940,22050,16002,1137,1907,0,2010,0.4534039729
"250","Cardiff Central",61165,36151,10400,7799,14976,575,765,0,2010,0.3035441463
"251","Cardiff Central",57456,38646,15462,5674,10481,2461,2499,0,2015,0.3035441463
"252","Cardiff North",67196,51151,19572,21709,1953,1254,3953,0,2015,0.3908054342
"253","Cardiff North",65553,47630,17666,17860,8724,362,1130,0,2010,0.3908054342
"254","Cardiff South & Penarth",76006,46667,0,12513,2318,1746,6423,0,2015,NA
"255","Cardiff South & Penarth",73707,44369,17262,12553,9875,554,1145,0,2010,NA
"256","Cardiff West",66762,43792,17803,11014,2069,1704,4923,0,2015,0.4483702206
"257","Cardiff West",62787,40958,16894,12143,7186,750,1117,0,2010,0.4483702206
"258","Carlisle",65827,42587,16099,18873,1087,1125,5277,0,2015,0.6048799932
"259","Carlisle",65263,42200,15736,16589,6567,614,969,0,2010,0.6048799932
"260","Carmarthen East & Dinefwr",52385,38011,10065,8506,4609,0,1285,0,2010,NA
"261","Carmarthen East & Dinefwr",55750,39399,9541,8336,928,1091,4363,0,2015,NA
"262","Carmarthen West & Pembrokeshire South",58108,40507,13226,16649,4890,0,1146,0,2010,NA
"263","Carmarthen West & Pembrokeshire South",57755,40350,11572,17626,963,1290,4698,0,2015,NA
"264","Carshalton & Wallington",66524,45918,4015,16920,22180,355,1348,0,2010,NA
"265","Carshalton & Wallington",69981,47613,7150,15093,16603,1492,7049,0,2015,NA
"266","Castle Point",68170,45450,6283,23112,801,1076,14178,0,2015,0.7269939242
"267","Castle Point",67284,45026,6609,19806,4232,0,0,0,2010,0.7269939242
"268","Ceredigion",54242,37416,3615,4123,13414,2088,3829,0,2015,0.4537013739
"269","Ceredigion",59882,38258,2210,4421,19139,696,977,0,2010,0.4537013739
"270","Charnwood",74473,53542,10536,26560,11531,0,1799,0,2010,0.5829449052
"271","Charnwood",77269,52261,11453,28384,3605,0,8330,0,2015,0.5829449052
"272","Chatham & Aylesford",67964,43807,14161,20230,5832,396,1314,0,2010,NA
"273","Chatham & Aylesford",66355,43073,10159,21614,1360,1101,8581,0,2015,NA
"274","Cheadle",71635,52512,4920,21445,24717,0,1430,0,2010,0.4265303264
"275","Cheadle",73239,53095,8673,22889,16436,0,4423,0,2015,0.4265303264
"276","Chelmsford",77525,54593,5980,25207,20097,476,1527,0,2010,0.5054572553
"277","Chelmsford",78580,53817,9482,27732,6394,1892,7652,0,2015,0.5054572553
"278","Chelsea & Fulham",66257,39856,7371,24093,6473,671,478,0,2010,NA
"279","Chelsea & Fulham",63478,40226,9300,25322,2091,1474,2039,0,2015,NA
"280","Cheltenham",78998,52786,2703,21739,26659,0,1192,0,2010,0.4278241767
"281","Cheltenham",77287,53735,3902,24790,18274,2689,3808,0,2015,0.4278241767
"282","Chesham & Amersham",70333,52444,2942,31658,14948,767,2129,0,2010,NA
"283","Chesham & Amersham",72547,52730,6712,31138,4761,2901,7218,0,2015,NA
"284","Chester, City of",70131,46790,16412,18995,8930,535,1225,0,2010,NA
"285","Chesterfield",71625,45567,21829,8231,6301,1352,7523,0,2015,0.593187532
"286","Chesterfield",71878,45839,17891,7214,17342,600,1432,0,2010,0.593187532
"287","Chichester",83396,57139,6933,32953,4865,3742,8540,0,2015,0.5064288139
"288","Chichester",81576,56787,5937,31427,15550,0,3873,0,2010,0.5064288139
"289","Chingford & Woodford Green",64831,43106,9780,22743,7242,650,1133,0,2010,NA
"290","Chingford & Woodford Green",66680,43804,12613,20999,2400,1854,5644,0,2015,NA
"291","Chippenham",74218,55407,4561,26354,16278,2330,5884,0,2015,0.5232609827
"292","Chippenham",72106,52385,3620,21500,23970,446,1783,0,2010,0.5232609827
"293","Chipping Barnet",75120,50608,12773,24700,10202,1021,1442,0,2010,0.4092972926
"294","Chipping Barnet",77807,53013,18103,25759,2381,2501,4151,0,2015,0.4092972926
"295","Chorley",70976,49774,21515,18922,6957,0,2021,0,2010,0.565742818
"296","Chorley",74679,51712,23322,18792,1354,1111,6995,0,2015,0.565742818
"297","Christchurch",69303,49707,4745,28887,3263,2149,10663,0,2015,0.5987484443
"298","Christchurch",68859,49416,4849,27888,12478,0,4201,0,2010,0.5987484443
"299","Cities of London & Westminster",66849,36931,8188,19264,7574,778,664,0,2010,NA
"300","Clacton",68936,44207,6364,16205,812,1184,19642,0,2015,0.7107657381
"301","Clacton",67194,43123,10799,22867,5577,535,0,0,2010,0.7107657381
"302","Cleethorpes",71008,45089,13133,21026,1346,1013,8356,0,2015,0.6841059823
"303","Cleethorpes",70214,44966,14641,18939,8192,0,3194,0,2010,0.6841059823
"304","Clwyd South",54996,35064,13051,10649,1349,915,5480,0,2015,0.6025820136
"305","Clwyd South",53748,34681,13311,10477,5965,0,819,0,2010,0.6025820136
"306","Clwyd West",57913,38111,9414,15833,5801,0,864,0,2010,0.5253250436
"307","Clwyd West",58644,38028,9733,16463,1387,0,4988,0,2015,0.5253250436
"308","Coatbridge, Chryston & Bellshill",73894,50698,17195,3209,549,0,1049,28696,2015,NA
"309","Coatbridge, Chryston & Bellshill",70067,41635,27728,3374,3519,0,0,7014,2010,NA
"310","Colchester",74064,46139,5680,15169,22151,694,1350,0,2010,0.5106418001
"311","Colchester",74204,48593,7852,18919,13344,2499,5870,0,2015,0.5106418001
"312","Colne Valley",82516,56800,19868,25246,3407,1919,5734,0,2015,0.4982459592
"313","Colne Valley",80060,55296,14589,20440,15603,867,1163,0,2010,0.4982459592
"314","Congleton",72280,50780,8747,23250,16187,0,2147,0,2010,0.5265409394
"315","Congleton",72503,50976,10391,27164,4623,1876,6922,0,2015,0.5265409394
"316","Copeland",62087,39631,16750,14186,1368,1179,6148,0,2015,0.5984604808
"317","Copeland",63149,42787,19699,15866,4365,389,994,0,2010,0.5984604808
"318","Corby",78024,54236,20991,22886,7834,0,0,0,2010,0.60114346
"319","Corby",79775,56174,0,24023,1458,1374,7708,0,2015,0.60114346
"320","Cornwall North",67940,46844,1971,19531,22512,0,2300,0,2010,NA
"321","Cornwall North",67192,48245,2621,21689,15068,2063,6121,0,2015,NA
"322","Cornwall South East",71373,49617,3507,22390,19170,826,3083,0,2010,NA
"323","Cornwall South East",71071,50498,4692,25516,8521,2718,7698,0,2015,NA
"324","Cotswolds, The",76729,54832,5886,29075,16211,940,2292,0,2010,NA
"325","Cotswolds, The",78290,56667,5240,32045,10568,2626,6188,0,2015,NA
"326","Coventry North East",73035,43383,21384,9609,7210,0,1291,0,2010,0.5922586701
"327","Coventry North East",75462,42231,22025,9751,2007,1245,6278,0,2015,0.5922586701
"328","Coventry North West",73626,45246,18557,14048,1810,1961,7101,0,2015,0.5867347043
"329","Coventry North West",72871,46560,19936,13648,8344,497,1295,0,2010,0.5867347043
"330","Coventry South",70397,43699,18472,15284,1779,1719,5709,0,2015,0.4890117797
"331","Coventry South",73652,45924,19197,15352,8278,639,1767,0,2010,0.4890117797
"332","Crawley",72781,47504,15336,21264,6844,598,1382,0,2010,0.584136714
"333","Crawley",73936,48550,16303,22829,1339,1100,6979,0,2015,0.584136714
"334","Crewe & Nantwich",74169,49896,18825,22445,1374,0,7252,0,2015,NA
"335","Crewe & Nantwich",79728,51084,17374,23420,7656,0,1414,0,2010,NA
